dsc_titulo_chamada;dsc_status;carta_txt_num_protocolo;carta_dsc_modalidade;carta_txt_sigla_uf;carta_txt_municipio;carta_dsc_agente_financeiro;carta_nome_proponente;carta_tipo_proponente;carta_txt_nome_empreendimento;carta_vlr_contrapartida;carta_vlr_emprestimo;carta_vlr_investimento
Avançar Cidades Saneamento 2018/2019;Selecionada;001749.1.3005/2018-R;Abastecimento de Água;SP;Embu-Guaçu;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Implantação de Sistema de Abastecimento de água  no Município de Embu Guaçú;179.482,69;3.410.151,10;3.589.633,79
Avançar Cidades Saneamento 2018/2019;Selecionada;00001363.2.2905/2018;Esgotamento Sanitário;MG;Caldas;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;661.650,00;12.571.350,00;13.233.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001592.2.2505/2018;Esgotamento Sanitário;SP;Jundiaí;Caixa Econômica Federal;DAE S/A - Água e Esgoto;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário de Jundiaí;1.350.000,00;11.350.000,00;12.700.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001387.2.3005/2018;Esgotamento Sanitário;MS;Bataguassu;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Bataguassu - MS;208.021,97;3.952.417,34;4.160.439,31
Avançar Cidades Saneamento 2018/2019;Selecionada;001737.1.1106/2018-R;Abastecimento de Água;SP;Itapevi;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Implantação de obras para ampliação e regularização do abastecimento no município de Itapevi ;2.619.500,00;49.770.500,00;52.390.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001577.1.3005/2018;Abastecimento de Água;SC;Joaçaba;Caixa Econômica Federal;PREFEITURA DO MUNICÍPIO DE JOAÇABA;Prefeitura Municipal;Ampliação e reforma da Estação de Tratamento de Água;7.946.050,65;5.933.029,67;13.879.080,32
Avançar Cidades Saneamento 2018/2019;Selecionada;001639.5.2505/2018-R;Manejo de Águas Pluviais;SP;Santo André;Caixa Econômica Federal;Prefeitura de Santo André;Prefeitura Municipal;Obras prioritárias de MACRO E MICRO drenagem;367.702,87;3.309.325,86;3.677.028,73
Avançar Cidades Saneamento 2018/2019;Selecionada;00001848.2.1806/2018;Esgotamento Sanitário;PB;Cabedelo;Caixa Econômica Federal;Governo do Estado da Paraíba;Governo Estadual/Distrital;Sistema de Esgotamento Sanitário de Cabedelo;3.057.795,48;32.821.804,29;35.879.599,77
Avançar Cidades Saneamento 2018/2019;Selecionada;00001895.2.1506/2018;Esgotamento Sanitário;SP;São Carlos;Caixa Econômica Federal;Prefeitura Municipal de São Carlos;Prefeitura Municipal;Implantação de sistema de esgotamento sanitário, composto por redes coletoras, interceptores, emissário e estação de tratamento de esgoto do bairro Varjão e áreas adjacentes, situado no município de São Carlos;1.101.952,29;20.937.092,49;22.039.044,78
Avançar Cidades Saneamento 2018/2019;Selecionada;001548.5.3005/2018-R;Manejo de Águas Pluviais;PR;Araucária;Caixa Econômica Federal;ESTADO DO PARANÁ;Governo Estadual/Distrital;Parque Natural do Iguaçu;1.230.000,00;23.280.346,76;24.510.346,76
Avançar Cidades Saneamento 2018/2019;Selecionada;00001364.2.2905/2018;Esgotamento Sanitário;MG;Cruzília;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;785.000,00;14.915.000,00;15.700.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001805.9.3105/2018;Estudos e Projetos;PI;Teresina;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE TERESINA;Prefeitura Municipal;ELABORAÇÃO DE ESTUDOS E PROJETOS PARA MANEJO DE ÁGUAS PLUVIAIS;453.649,63;8.613.299,92;9.066.949,55
